dealYear,dealMonth,dealDay,umdNm,aptNm,buildYear,excluUseAr,deposit,monthlyRent,contractType,floor,jibun,aptSeq
2020,1,14,청당동,청당코오롱하늘채,2019,59.9189,"1,000",60, ,22,992,44131-1002
2020,1,30,안서동,안서금호어울림,2009,84.969,"18,000",0, ,6,365-3,44131-840
2020,1,5,안서동,안서금호어울림,2009,99.803,"20,000",0, ,14,365-3,44131-840
2020,1,19,용곡동,용곡동우림필유,2009,84.968,"19,000",0, ,10,595,44131-841
2020,1,29,청당동,청당마을신도브래뉴,2006,84.57,"15,000",0, ,15,436,44131-805
2020,1,22,신부동,신부 디 이스트,2018,74.88,"24,000",0, ,12,986,44131-980
2020,1,15,신방동,초원그린타운,1998,39.27,"6,000",0, ,9,920,44131-81
2020,1,17,신방동,초원그린타운,1998,39.27,"6,500",0, ,6,920,44131-81
2020,1,17,청당동,청수 포레나(FORENA),2015,86.7592,"26,500",0, ,11,466,44131-923
2020,1,15,청당동,청당코오롱하늘채,2019,71.3335,"22,000",0, ,17,992,44131-1002
2020,1,7,신방동,초원그린타운,1998,39.27,"6,000",0, ,11,920,44131-81
2020,1,3,목천읍 신계리,천안목천동우1차,1997,39.95,"3,000",0, ,5,422,44131-76
2020,1,7,신방동,천안신방행복주택,2018,36.25,"2,772",15, ,11,1892,44131-986
2020,1,8,안서동,안서금호어울림,2009,84.969,"18,000",0, ,20,365-3,44131-840
2020,1,29,신방동,성지새말2,1997,59.97,"12,000",0, ,16,874,44131-44
2020,1,23,다가동,서해그랑블,2008,84.7463,"13,000",0, ,4,526,44131-824
2020,1,22,신방동,초원그린타운,1998,39.27,"4,700",0, ,2,920,44131-81
2020,1,7,원성동,메가시티2,2016,14.9497,"5,500",0, ,9,582-1,44131-938
2020,1,30,다가동,아트빌,2004,39.78,"1,800",0, ,11,27-2,44131-82
2020,1,1,문화동,류진시티,2015,25.52,500,35, ,4,81-1,44131-928
2020,1,14,목천읍 신계리,천안목천동우1차,1997,39.95,200,22, ,6,422,44131-76
2020,1,4,안서동,대림1차이편한세상,2005,101.592,"19,000",0, ,3,181,44131-782
